-6.385174151608028,-22.42934145442895,1.012872742574043
-6.488664653222925,-22.59517548354705,1.012872742574042
-6.593502403782273,-22.76016110472568,1.004727872731402
-6.699680448502974,-22.92428737305996,0.9965830028887622
-6.805858493223678,-23.08841364139423,0.9965830028887622
-6.872636965695032,-23.19072145724395,0.9925105679674424
-6.966709348982606,-23.33357048138801,0.9884381330461219
-7.06136269393529,-23.47603521837785,0.9843656981248021
-7.156595430755449,-23.61811330547807,0.9802932632034818
-7.238223490887012,-23.73989452299255,0.9802932632034816
-7.32084072467462,-23.86100685853866,0.9721483933608415
-7.417802122352067,-24.00191088387772,0.9680759584395219
-7.500911891789879,-24.12268576273978,0.9680759584395219
-7.570579330737503,-24.22304861204184,0.9640035235182015
-7.696715377047389,-24.40318955515763,0.9599310885968816
-7.795390963058059,-24.54289848730502,0.9558586536755616
-7.866279335714812,-24.64240271933376,0.9517862187542418
-7.966089547215367,-24.78130332651936,0.947713783832921
-8.052608017838448,-24.89966024174273,0.939568913990281
-8.139126488461532,-25.01801715696611,0.939568913990281
-8.240626199926115,-25.15568801651497,0.9354964790689612
-8.342685723785758,-25.29294438462173,0.9314240441476409
-8.430165315665452,-25.41059270014181,0.9314240441476409
-8.532782959293232,-25.54743230045034,0.9273516092263211
-8.621693332110253,-25.66400309758962,0.919206739383681
-8.740240495866281,-25.81943082710867,0.9192067393836806
-8.814727463544465,-25.9162706185978,0.9151343044623603
-8.935164640786764,-26.07023845769399,0.9069894346197211
-9.025492523718489,-26.18571433701613,0.9069894346197206
-9.101157024222493,-26.2816368939724,0.9029169996983999
-9.207633338724081,-26.41549596705479,0.8988445647770801
-9.314653901143576,-26.54892031346777,0.8947721298557603
-9.422216936576703,-26.68190772040815,0.8906996949344405
-9.514413824090814,-26.79589692635705,0.89069969493444
-9.622517548636552,-26.92844518826815,0.8866272600131202
-9.716100161689926,-27.04129951771214,0.8784823901704801
-9.825815160644471,-27.17251718420838,0.8744099552491599
-9.919856588319798,-27.28498946977659,0.8744099552491594
-10.03010505140925,-27.4157592422117,0.87033752032784
-10.14088515019556,-27.54607895180779,0.8662650854065197
-10.22039221964421,-27.6388414414102,0.8621926504851995
-10.33223006927249,-27.76825454888714,0.8581202155638792
-10.44459401650339,-27.89721113211966,0.8540477806425594
-10.5252284317254,-27.98899536089211,0.8499753457212391
-10.65543531647562,-28.13479445657411,0.8418304758785986
-10.75309048003828,-28.24414377833561,0.841830475878599
-10.85074564360094,-28.35349310009711,0.841830475878599
-11.01498322786448,-28.53441029163365,0.8336856060359585
-11.13046432352441,-28.66058308403161,0.8296131711146387
-11.26361279763399,-28.80370084316839,0.8214683012719986
-11.41405927954684,-28.96409697044517,0.8173958663506779
-11.53158028481296,-29.08837194909154,0.8133234314293581
-11.61588466417337,-29.17679720108555,0.8092509965080378
-11.75077167115003,-29.31827760427597,0.8092509965080383
-11.93703199895881,-29.51205623457658,0.8051785615867185
-12.03948605384692,-29.61692268191382,0.7970336917440784
-12.15951303073588,-29.73877908024896,0.7929612568227578
-12.2623932966407,-29.84322742167908,0.7929612568227578
-12.38390003559586,-29.96360835615294,0.7807439520587974
-12.52276488011605,-30.1011865669802,0.7807439520587979
-12.60990486121953,-30.18681878791854,0.7766715171374776
-12.7323880460871,-30.30620608381309,0.7725990822161569
-12.83737363311644,-30.4085380517227,0.7725990822161569
-12.94318920919464,-30.51001154086834,0.7644542123735168
-13.08427664396557,-30.64530952639585,0.7644542123735173
-13.22646137126748,-30.77945389810084,0.7563093425308772
-13.31566752187371,-30.86293153740364,0.752236907609557
-13.45839736284367,-30.99649576028811,0.752236907609557
-13.56625708127512,-31.09579372743768,0.7440920377669169
-13.67411679970658,-31.19509169458727,0.7440920377669169
-13.76433613921658,-31.27747327230903,0.7400196028455967
-13.89111185690921,-31.39229214880517,0.7359471679242768
-14.01835411444279,-31.50659378874998,0.7318747330029566
-14.10957317665669,-31.58786700856048,0.7278022980816363
-14.23774217534452,-31.70112849703593,0.7237298631603161
-14.36637135997589,-31.81386708784397,0.7196574282389962
-14.49545859727396,-31.92608091124852,0.7155849933176764
-14.58798941805342,-32.00585747908287,0.7115125583963562
-14.71798633050313,-32.11701619331552,0.707440123475036
-14.84843485035111,-32.22764458327843,0.7033676885537162
-14.96024786736367,-32.32246891753237,0.7033676885537162
-15.11035670946724,-32.4476829129976,0.6952228187110761
-15.2236994871092,-32.54067334205648,0.6870779488684359
-15.35548981867243,-32.64969978610915,0.6911503837897558
-15.4692103528601,-32.74222786424881,0.6830055139471161
-15.60232282502419,-32.84963608903016,0.6789330790257954
-15.67838709483225,-32.91101221747664,0.6789330790257954
-15.81193587497729,-33.01787746120952,0.6748606441044755
-15.96555272561381,-33.13876200256431,0.6667157742618358
-16.0807653635912,-33.22942540858041,0.666715774261835
-16.27401078015014,-33.37896210393362,0.6585709044191949
-16.3899580300855,-33.46868412114555,0.6585709044191946
-16.48688442552394,-33.54305836021298,0.6544984694978755
-16.64293073313988,-33.66079008498366,0.646353599655235
-16.7989770407558,-33.77852180975433,0.6463535996552345
-16.89680483268525,-33.85170634839302,0.6422811647339143
-17.05332929977236,-33.96880161021492,0.6422811647339138
-17.17143404257751,-34.05566400062113,0.6341362948912741
-17.27014862915531,-34.12764791525714,0.6300638599699543
-17.42809196767977,-34.24282217867476,0.6300638599699543
-17.54724909418401,-34.32823520076977,0.6219189901273138
-17.66640622068824,-34.41364822286479,0.6219189901273138
